game_id,game_date,away_name,home_name,away_id,home_id,HP,temp,weather,mag,dir,length,att,daytime,delay
317775,2012-03-28,Seattle Mariners,Oakland Athletics,136,133,Tom Hallion,72,Dome,,,184,44227,7:09 PM,0
318969,2012-03-29,Seattle Mariners,Oakland Athletics,136,133,Jeff Nelson,72,Dome,,,143,43391,6:04 PM,0
317733,2012-04-04,St. Louis Cardinals,Miami Marlins,138,146,Ed Rapuano,79,Clear,11 mph,In From RF.,162,36601,7:15 PM,0
317735,2012-04-05,Boston Red Sox,Detroit Tigers,111,116,Dale Scott,43,Cloudy,15 mph,L To R.,187,45027,1:10 PM,0
317734,2012-04-05,Atlanta Braves,New York Mets,144,121,Gerry Davis,53,Sunny,10 mph,In From LF.,159,42080,1:18 PM,1
317746,2012-04-05,Philadelphia Phillies,Pittsburgh Pirates,143,134,Brian Gorman,52,Partly Cloudy,4 mph,L To R.,134,39585,1:37 PM,0
317739,2012-04-05,Washington Nationals,Chicago Cubs,120,112,Dana DeMuth,51,Partly Cloudy,18 mph,In From CF.,155,41176,1:25 PM,0
317738,2012-04-05,Toronto Blue Jays,Cleveland Indians,141,114,Tim Welke,44,Sunny,16 mph,In From RF.,314,43190,3:08 PM,0
317742,2012-04-05,Miami Marlins,Cincinnati Reds,146,113,Tim McClelland,60,Partly Cloudy,15 mph,L To R.,164,42956,4:10 PM,0
317736,2012-04-05,Los Angeles Dodgers,San Diego Padres,119,135,Gary Darling,69,Sunny,6 mph,L To R.,176,42941,4:09 PM,0
317740,2012-04-06,Chicago White Sox,Texas Rangers,145,140,Mike Winters,75,Sunny,3 mph,L To R.,144,49085,1:08 PM,0
317737,2012-04-06,Minnesota Twins,Baltimore Orioles,142,110,Tim Tschida,59,Sunny,5 mph,R To L.,158,46773,3:09 PM,0
317745,2012-04-06,New York Yankees,Tampa Bay Rays,147,139,Joe West,72,Dome,,,224,34078,3:10 PM,0
317749,2012-04-06,St. Louis Cardinals,Milwaukee Brewers,138,158,Angel Hernandez,65,Roof Closed,0 mph,None.,188,46086,3:10 PM,0
317741,2012-04-06,Colorado Rockies,Houston Astros,115,117,Gary Cederstrom,79,Partly Cloudy,9 mph,Out To LF.,191,43464,6:12 PM,0
317748,2012-04-06,San Francisco Giants,Arizona Diamondbacks,137,109,Jim Joyce,77,Partly Cloudy,7 mph,R To L.,173,49130,4:13 PM,0
317743,2012-04-06,Kansas City Royals,Los Angeles Angels,118,108,Jerry Layne,69,Clear,4 mph,Out To CF.,142,44106,7:11 PM,0
317744,2012-04-06,Los Angeles Dodgers,San Diego Padres,119,135,Jerry Meals,61,Cloudy,10 mph,L To R.,151,32490,7:06 PM,0
317747,2012-04-06,Seattle Mariners,Oakland Athletics,136,133,Tom Hallion,55,Clear,9 mph,R To L.,186,35067,7:09 PM,0
317764,2012-04-07,Washington Nationals,Chicago Cubs,120,112,Kerwin Danley,60,Sunny,7 mph,R To L.,202,40102,12:07 PM,0
317763,2012-04-07,Toronto Blue Jays,Cleveland Indians,141,114,Mark Carlson,48,Sunny,5 mph,L To R.,218,18842,1:08 PM,0
317750,2012-04-07,Atlanta Braves,New York Mets,144,121,Eric Cooper,55,Sunny,16 mph,L To R.,173,39526,1:10 PM,0
317751,2012-04-07,Boston Red Sox,Detroit Tigers,111,116,Bill Miller,62,Sunny,6 mph,R To L.,173,44710,4:06 PM,0
317755,2012-04-07,Kansas City Royals,Los Angeles Angels,118,108,Bob Davidson,85,Sunny,4 mph,Out To CF.,166,40022,1:06 PM,0
317761,2012-04-07,San Francisco Giants,Arizona Diamondbacks,137,109,Jim Reynolds,79,Sunny,4 mph,L To R.,156,34789,1:05 PM,0
317762,2012-04-07,St. Louis Cardinals,Milwaukee Brewers,138,158,Laz Diaz,70,Roof Closed,0 mph,None.,171,42084,3:06 PM,0
317753,2012-04-07,Colorado Rockies,Houston Astros,115,117,Lance Barksdale,80,Clear,8 mph,R To L.,151,23962,6:06 PM,0
317757,2012-04-07,Minnesota Twins,Baltimore Orioles,142,110,Jeff Nelson,63,Clear,8 mph,L To R.,157,31532,7:07 PM,0
317759,2012-04-07,Philadelphia Phillies,Pittsburgh Pirates,143,134,Larry Vanover,58,Clear,13 mph,Out To CF.,193,38885,7:05 PM,0
317754,2012-04-07,Miami Marlins,Cincinnati Reds,146,113,Ted Barrett,67,Clear,5 mph,L To R.,178,41662,7:12 PM,0
317758,2012-04-07,New York Yankees,Tampa Bay Rays,147,139,Sam Holbrook,72,Dome,,,200,34078,7:11 PM,0
317752,2012-04-07,Chicago White Sox,Texas Rangers,145,140,Wally Bell,82,Clear,5 mph,In From RF.,156,47867,7:07 PM,0
317756,2012-04-07,Los Angeles Dodgers,San Diego Padres,119,135,Paul Emmel,71,Clear,9 mph,L To R.,236,31909,5:36 PM,0
317760,2012-04-07,Seattle Mariners,Oakland Athletics,136,133,Brian O'Nora,59,Partly Cloudy,9 mph,Out To RF.,178,16612,6:07 PM,0
317766,2012-04-08,Boston Red Sox,Detroit Tigers,111,116,Dan Iassogna,58,Sunny,15 mph,Out To LF.,285,30788,1:06 PM,0
317778,2012-04-08,Toronto Blue Jays,Cleveland Indians,141,114,Mike Everitt,51,Overcast,17 mph,L To R.,171,10518,1:05 PM,0
