game_id,game_date,away_name,home_name,away_id,home_id,HP,temp,weather,mag,dir,length,att,daytime,delay,away_LOB,away_RISP,away_GIDP,away_2outrunners,away_2outrbi,home_LOB,home_RISP,home_GIDP,home_2outrunners,home_2outrbi,away_runs,away_doubles,away_triples,away_homeRuns,away_strikeOuts,away_baseOnBalls,away_hits,away_avg,away_atBats,away_obp,away_slg,away_ops,away_stolenBases,away_rbi,away_leftOnBase,home_runs,home_doubles,home_triples,home_homeRuns,home_strikeOuts,home_baseOnBalls,home_hits,home_avg,home_atBats,home_obp,home_slg,home_ops,home_stolenBases,home_rbi,home_leftOnBase
566083,2019-03-20,Seattle Mariners,Oakland Athletics,136,133,Jeff Nelson,72,Dome,0 mph,None.,204,45787,6:36 PM,0,5,4-for-9,0,3,7,4,3-for-10,2,2,3,9,1,0,2,10,6,7,.226,31,.375,.452,.827,2,9,10,7,3,0,3,8,3,9,.257,35,.316,.600,.916,0,7,14
566084,2019-03-21,Seattle Mariners,Oakland Athletics,136,133,Bill Welke,70,Dome,0 mph,None.,267,46451,6:35 PM,0,10,1-for-11,1,8,2,12,2-for-14,1,6,3,5,4,0,2,9,5,9,.216,43,.341,.446,.787,1,5,19,4,1,0,0,10,6,10,.235,46,.311,.395,.706,0,3,24
565895,2019-03-28,New York Mets,Washington Nationals,121,120,Bill Miller,56,Partly Cloudy,3 mph,R To L.,164,42263,1:07 PM,0,5,1-for-2,0,1,2,6,1-for-7,0,2,0,2,0,0,1,12,3,5,.161,31,.235,.258,.493,0,2,6,0,1,0,0,14,1,5,.161,31,.212,.194,.406,3,0,13
567456,2019-03-28,Baltimore Orioles,New York Yankees,110,147,Fieldin Culbreth,48,Sunny,12 mph,R To L.,186,46928,1:12 PM,0,6,2-for-4,0,2,2,8,1-for-8,2,4,0,2,1,0,0,9,1,8,.235,34,.257,.265,.522,0,2,9,7,1,0,2,8,8,9,.310,29,.462,.552,1.013,0,6,17
567552,2019-03-28,St. Louis Cardinals,Milwaukee Brewers,138,158,Gary Cederstrom,66,Roof Closed,0 mph,None.,156,45304,1:10 PM,0,3,0-for-2,0,1,3,3,1-for-3,1,1,1,4,0,0,3,11,2,5,.156,32,.206,.438,.643,0,4,7,5,0,0,3,5,2,7,.233,30,.281,.533,.815,0,5,5
567059,2019-03-28,Atlanta Braves,Philadelphia Phillies,144,143,Mike Winters,58,Partly Cloudy,5 mph,Varies.,184,44469,3:08 PM,0,5,3-for-6,1,2,2,3,4-for-7,0,2,5,4,1,0,1,9,6,7,.233,30,.361,.367,.728,1,4,8,10,0,0,3,9,6,7,.226,31,.351,.516,.868,0,10,7
566864,2019-03-28,Detroit Tigers,Toronto Blue Jays,116,141,Dana DeMuth,68,Roof Closed,0 mph,None.,145,45048,4:08 PM,0,5,1-for-2,1,1,0,3,0-for-1000,0,0,0,2,1,0,1,15,4,4,.125,32,.243,.250,.493,0,2,13,0,0,0,0,7,1,2,.063,32,.091,.063,.153,0,0,4
566664,2019-03-28,Houston Astros,Tampa Bay Rays,117,139,Sam Holbrook,72,Dome,0 mph,None.,158,25025,4:00 PM,0,5,1-for-10,0,4,1,6,0-for-6,0,2,0,5,3,0,3,8,2,10,.286,35,.324,.629,.953,0,5,15,1,1,0,1,12,1,4,.129,31,.206,.258,.464,0,1,15
566763,2019-03-28,Chicago Cubs,Texas Rangers,112,140,Jeff Kellogg,73,Overcast,18 mph,R To L.,187,48538,3:08 PM,0,7,4-for-12,2,4,6,3,1-for-2,0,1,4,12,3,0,3,7,8,13,.351,37,.478,.676,1.154,0,11,19,4,1,0,2,6,2,6,.188,32,.235,.406,.642,0,4,4
566086,2019-03-28,Los Angeles Angels,Oakland Athletics,108,133,Mike Everitt,61,Cloudy,16 mph,Out To RF.,138,22691,1:10 PM,0,6,0-for-5,2,4,0,4,1-for-3,0,1,0,0,1,0,0,3,4,3,.107,28,.242,.143,.385,0,0,14,4,1,1,2,4,1,7,.234,30,.295,.432,.728,1,4,10
