gameid,awayruns,homeruns,total,diff
380537,3,1,4,2
380546,1,3,4,-2
380542,0,1,1,-1
380545,3,4,7,-1
380553,9,7,16,2
380548,14,10,24,4
380540,0,2,2,-2
380541,1,2,3,-1
380551,1,0,1,1
380552,2,9,11,-7
380547,3,5,8,-2
380544,1,10,11,-9
380550,9,8,17,1
380543,2,0,2,2
380549,10,3,13,7
380557,3,2,5,1
380562,4,2,6,2
380556,3,4,7,-1
380558,2,6,8,-4
380559,2,3,5,-1
380554,5,2,7,3
380561,4,5,9,-1
380560,8,3,11,5
380568,1,2,3,-1
380563,1,0,1,1
380570,6,7,13,-1
380564,6,2,8,4
380565,3,4,7,-1
380577,5,1,6,4
380575,0,1,1,-1
380576,3,0,3,3
380567,6,5,11,1
380572,3,4,7,-1
380571,1,3,4,-2
380574,2,0,2,2
380573,8,2,10,6
380569,5,1,6,4
380579,3,2,5,1
380586,7,6,13,1
380580,5,8,13,-3
380588,8,2,10,6
380582,10,9,19,1
380585,8,5,13,3
380578,4,3,7,1
380587,2,7,9,-5
380583,4,2,6,2
380584,2,3,5,-1
380591,2,1,3,1
380592,4,10,14,-6
380595,6,2,8,4
380598,7,2,9,5
380596,2,7,9,-5
380590,2,12,14,-10
380601,8,4,12,4
380593,5,7,12,-2
380602,2,12,14,-10
380597,7,3,10,4
380594,3,4,7,-1
380603,1,8,9,-7
380599,2,8,10,-6
380589,11,1,12,10
380611,7,3,10,4
380612,0,4,4,-4
380607,6,7,13,-1
380609,3,6,9,-3
380608,3,4,7,-1
380613,2,0,2,2
380615,3,1,4,2
380616,7,2,9,5
380617,6,1,7,5
380606,6,2,8,4
380604,5,1,6,4
380618,4,5,9,-1
380614,0,5,5,-5
380610,7,6,13,1
380605,4,9,13,-5
380626,10,7,17,3
380627,6,4,10,2
380622,3,1,4,2
380624,2,1,3,1
380629,4,2,6,2
380632,1,2,3,-1
380621,1,2,3,-1
380625,4,0,4,4
380633,3,0,3,3
380619,4,7,11,-3
380623,5,1,6,4
380628,3,8,11,-5
380630,3,6,9,-3
380620,5,3,8,2
380631,2,6,8,-4
380635,2,4,6,-2
380634,9,1,10,8
380639,8,3,11,5
380637,3,5,8,-2
380642,1,5,6,-4
380641,2,4,6,-2
380636,1,8,9,-7
380645,14,5,19,9
380638,10,4,14,6
380644,3,7,10,-4
380655,10,7,17,3
380653,6,8,14,-2
380650,0,5,5,-5
380649,2,5,7,-3
380651,4,0,4,4
380652,7,6,13,1
380654,1,0,1,1
380647,5,7,12,-2
380646,15,3,18,12
380648,2,3,5,-1
380643,3,5,8,-2
380666,7,4,11,3
380660,4,0,4,4
380669,3,7,10,-4
380659,4,10,14,-6
380670,2,4,6,-2
380663,7,10,17,-3
380658,5,4,9,1
380664,9,4,13,5
380662,3,7,10,-4
380665,3,4,7,-1
380667,5,7,12,-2
380661,7,6,13,1
380656,2,0,2,2
380657,7,3,10,4
380678,6,1,7,5
380679,5,4,9,1
380675,1,7,8,-6
380672,1,4,5,-3
380676,6,2,8,4
380674,6,4,10,2
380677,6,4,10,2
380673,3,7,10,-4
380671,6,5,11,1
380693,2,0,2,2
380688,3,6,9,-3
380680,4,2,6,2
380692,2,1,3,1
380694,6,7,13,-1
380685,0,1,1,-1
380686,1,10,11,-9
380682,6,9,15,-3
380691,2,4,6,-2
380681,6,3,9,3
380687,6,0,6,6
380689,4,5,9,-1
380684,0,6,6,-6
380690,4,6,10,-2
380683,5,6,11,-1
380695,4,7,11,-3
380707,1,0,1,1
380701,1,7,8,-6
380697,12,6,18,6
380696,4,10,14,-6
380698,1,0,1,1
380708,1,2,3,-1
380703,4,5,9,-1
380709,3,6,9,-3
380706,2,3,5,-1
380700,6,5,11,1
380702,8,5,13,3
380699,6,2,8,4
380704,7,6,13,1
380705,3,1,4,2
380722,4,12,16,-8
380723,11,3,14,8
380724,2,10,12,-8
380718,3,4,7,-1
380716,3,4,7,-1
380712,3,4,7,-1
380721,1,4,5,-3
380711,4,6,10,-2
380715,0,1,1,-1
380719,2,14,16,-12
380713,4,5,9,-1
380717,8,6,14,2
380714,1,5,6,-4
380720,3,0,3,3
380710,2,3,5,-1
380732,1,7,8,-6
380725,9,6,15,3
380733,9,2,11,7
380730,7,1,8,6
380731,4,0,4,4
380727,7,3,10,4
380728,3,2,5,1
380726,4,5,9,-1
380743,5,7,12,-2
380748,2,11,13,-9
380744,0,5,5,-5
380739,4,2,6,2
380747,9,3,12,6
380735,1,2,3,-1
380745,6,1,7,5
380741,9,0,9,9
380742,10,9,19,1
380738,3,2,5,1
380740,2,3,5,-1
380758,0,4,4,-4
380761,0,3,3,-3
380760,1,5,6,-4
380756,5,2,7,3
380749,1,0,1,1
380752,3,2,5,1
380763,6,3,9,3
380759,2,3,5,-1
380754,6,4,10,2
380750,6,4,10,2
380757,4,5,9,-1
380753,2,4,6,-2
380755,1,2,3,-1
380764,0,1,1,-1
380766,5,7,12,-2
380772,6,8,14,-2
380769,2,1,3,1
380767,3,1,4,2
380773,8,0,8,8
380770,2,11,13,-9
380771,10,2,12,8
380768,5,1,6,4
380765,3,1,4,2
380780,4,1,5,3
380788,1,3,4,-2
