pos,player,age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,TB,GIDP,HBP,SH,SF,IBB,year,team
,Non-Pitcher Totals,29.4,162,5870,5248,695,1425,290,37,133,670,137,50,503,1134,.272,.340,.417,.757,115,2188,117,60,15,43,30,2014,LA
,Non-Pitcher Totals,29.8,162,5743,5087,650,1309,255,26,185,629,58,34,551,1127,.257,.335,.427,.762,112,2171,129,58,15,29,31,2015,LA
,Non-Pitcher Totals,29.0,162,5846,5233,710,1341,270,21,188,663,45,26,517,1200,.256,.328,.424,.752,102,2217,117,58,5,32,31,2016,LA
,Non-Pitcher Totals,27.8,162,5864,5126,753,1315,307,20,221,713,77,28,635,1257,.257,.343,.454,.797,110,2325,114,61,4,37,41,2017,LA
,Non-Pitcher Totals,28.0,163,6025,5281,794,1355,292,33,235,740,73,24,636,1313,.257,.341,.458,.799,116,2418,116,61,8,39,47,2018,LA
,Non-Pitcher Totals,27.8,162,5917,5194,869,1367,295,20,277,844,57,10,594,1236,.263,.345,.488,.833,118,2533,98,81,2,45,47,2019,LA
,Non-Pitcher Totals,26.7,162,5766,5219,594,1269,261,30,154,570,65,40,432,1353,.243,.305,.393,.698,93,2052,89,52,24,39,29,2014,CHC
,Non-Pitcher Totals,26.5,162,5823,5147,667,1303,266,29,169,643,95,37,553,1366,.253,.332,.415,.747,105,2134,95,74,15,33,47,2015,CHC
,Non-Pitcher Totals,27.2,162,5935,5149,787,1352,283,29,197,740,66,34,640,1185,.263,.352,.444,.796,110,2284,103,95,13,37,45,2016,CHC
,Non-Pitcher Totals,26.7,162,5933,5185,802,1363,268,28,220,760,60,30,610,1250,.263,.348,.453,.800,105,2347,131,82,22,31,54,2017,CHC
,Non-Pitcher Totals,26.9,163,6040,5330,748,1424,284,34,165,707,66,38,568,1250,.267,.344,.426,.770,104,2271,101,78,13,46,67,2018,CHC
,Non-Pitcher Totals,27.4,162,5848,5154,802,1339,263,26,255,760,45,24,568,1317,.260,.340,.469,.810,109,2419,121,81,7,37,33,2019,CHC
,Non-Pitcher Totals,28.3,162,6032,5523,648,1453,285,29,95,603,153,36,380,977,.263,.314,.377,.691,92,2081,131,52,30,47,22,2014,KC
,Non-Pitcher Totals,29.2,162,6093,5554,723,1494,300,42,139,686,104,34,383,963,.269,.322,.413,.736,98,2295,133,77,32,47,28,2015,KC
,Non-Pitcher Totals,28.6,162,6031,5534,674,1448,264,33,147,639,121,35,382,1216,.262,.313,.401,.714,90,2219,134,45,35,34,23,2016,KC
,Non-Pitcher Totals,29.0,162,6000,5511,702,1433,260,24,193,660,91,31,389,1157,.260,.312,.421,.733,93,2320,158,45,16,37,19,2017,KC
,Non-Pitcher Totals,28.7,162,6041,5484,637,1347,282,29,155,605,117,38,427,1298,.246,.306,.392,.698,90,2152,123,67,23,40,13,2018,KC
,Non-Pitcher Totals,27.7,162,6058,5477,691,1354,281,40,162,654,117,39,455,1397,.247,.310,.402,.711,86,2201,113,59,22,42,17,2019,KC
,Non-Pitcher Totals,28.9,162,5851,5239,671,1367,260,27,151,629,101,23,504,1172,.261,.330,.407,.737,103,2134,113,56,12,40,29,2014,WAS
,Non-Pitcher Totals,28.4,162,5757,5118,688,1311,260,13,177,660,57,23,532,1230,.256,.328,.416,.744,101,2128,126,41,15,51,38,2015,WAS
,Non-Pitcher Totals,28.8,162,5831,5171,749,1349,260,29,202,714,121,39,524,1127,.261,.333,.440,.772,102,2273,97,63,11,62,49,2016,WAS
,Non-Pitcher Totals,29.1,162,5850,5233,802,1439,308,31,212,782,108,30,526,1200,.275,.342,.467,.809,106,2445,114,31,15,45,56,2017,WAS
,Non-Pitcher Totals,27.2,162,5947,5213,751,1358,277,24,190,719,118,33,625,1181,.261,.344,.432,.776,104,2253,96,56,13,40,56,2018,WAS
,Non-Pitcher Totals,28.5,162,5918,5201,853,1419,296,27,230,806,114,29,575,1173,.273,.352,.473,.825,112,2459,112,81,19,42,33,2019,WAS
,Non-Pitcher Totals,31.1,162,5859,5303,607,1313,245,27,125,575,109,26,434,1178,.248,.309,.375,.684,91,1987,90,55,29,37,42,2014,PHI
,Non-Pitcher Totals,28.0,162,5749,5261,609,1339,265,37,129,578,88,32,379,1154,.255,.310,.393,.702,94,2065,114,54,25,29,20,2015,PHI
,Non-Pitcher Totals,26.9,162,5677,5151,594,1265,221,35,161,562,96,45,413,1268,.246,.307,.396,.703,87,2039,102,57,26,30,33,2016,PHI
,Non-Pitcher Totals,26.6,162,5827,5254,674,1347,284,35,172,640,59,25,484,1294,.256,.323,.422,.745,95,2217,125,47,6,36,25,2017,PHI
,Non-Pitcher Totals,26.8,162,5836,5158,666,1242,238,29,184,643,69,26,574,1376,.241,.323,.405,.728,94,2090,94,64,6,32,33,2018,PHI
,Non-Pitcher Totals,27.6,162,5953,5300,758,1335,307,26,214,731,78,18,548,1313,.252,.327,.441,.767,98,2336,95,57,11,34,47,2019,PHI
,Non-Pitcher Totals,26.7,162,5707,5154,557,1283,237,22,122,530,95,33,465,1227,.249,.315,.374,.689,95,1930,117,42,19,26,31,2014,ATL
,Non-Pitcher Totals,29.2,162,5702,5152,569,1336,247,18,100,538,69,33,457,985,.259,.323,.372,.696,93,1919,146,44,18,30,39,2015,ATL
,Non-Pitcher Totals,29.3,161,5878,5251,642,1372,293,26,122,608,75,34,496,1132,.261,.329,.397,.726,95,2083,140,58,21,51,60,2016,ATL
,Non-Pitcher Totals,28.7,162,5894,5312,721,1440,288,26,164,688,77,31,468,1077,.271,.336,.428,.763,98,2272,134,65,17,31,57,2017,ATL
,Non-Pitcher Totals,27.3,162,5923,5299,746,1410,309,29,174,705,90,36,503,1135,.266,.335,.434,.769,106,2299,96,66,13,42,53,2018,ATL
,Non-Pitcher Totals,28.1,162,5962,5253,839,1401,271,29,249,810,89,28,611,1308,.267,.348,.472,.819,104,2477,101,58,3,34,39,2019,ATL
,Non-Pitcher Totals,29.3,162,6206,5532,634,1352,282,20,123,601,62,25,535,1328,.244,.316,.369,.685,91,2043,138,68,19,52,36,2014,BOS
,Non-Pitcher Totals,28.4,162,6212,5617,748,1492,294,33,161,704,71,27,478,1137,.266,.326,.416,.742,97,2335,127,46,28,42,28,2015,BOS
,Non-Pitcher Totals,28.6,162,6293,5645,878,1597,343,25,208,836,83,24,556,1142,.283,.349,.463,.813,113,2614,137,43,8,40,34,2016,BOS
,Non-Pitcher Totals,27.4,162,6315,5647,785,1459,301,19,168,735,106,31,571,1216,.258,.330,.408,.738,93,2302,141,53,8,36,48,2017,BOS
,Non-Pitcher Totals,27.8,162,6282,5604,873,1505,353,31,208,826,125,31,568,1243,.269,.339,.454,.793,112,2544,130,55,7,48,38,2018,BOS
,Non-Pitcher Totals,27.3,162,6452,5749,899,1553,345,27,245,856,68,30,590,1371,.270,.341,.467,.808,107,2687,126,49,18,44,36,2019,BOS
,Non-Pitcher Totals,28.9,162,5736,5130,598,1327,263,21,105,569,57,32,460,1011,.259,.327,.380,.707,98,1947,137,83,24,39,28,2014,STL
