place,team,year,BA,OBP,SLG,OPS,BAbip
home,CHC,2013,0.251,0.314,0.425,0.7390000000000001,0.28600000000000003
away,CHC,2013,0.225,0.287,0.36,0.647,0.265
home,CHC,2014,0.242,0.303,0.385,0.6890000000000001,0.306
away,CHC,2014,0.23600000000000002,0.29600000000000004,0.384,0.68,0.28600000000000003
home,CHC,2015,0.237,0.322,0.396,0.718,0.289
away,CHC,2015,0.251,0.321,0.4,0.721,0.32
home,CHC,2016,0.254,0.348,0.419,0.768,0.3
away,CHC,2016,0.258,0.33899999999999997,0.43700000000000006,0.7759999999999999,0.304
home,CHC,2017,0.264,0.348,0.457,0.805,0.31
away,CHC,2017,0.247,0.32899999999999996,0.418,0.747,0.294
home,CHC,2018,0.262,0.33799999999999997,0.415,0.753,0.314
away,CHC,2018,0.255,0.32799999999999996,0.406,0.735,0.311
home,CHC,2019,0.262,0.344,0.466,0.81,0.304
away,CHC,2019,0.244,0.319,0.439,0.758,0.289
home,STL,2013,0.27399999999999997,0.336,0.40299999999999997,0.7390000000000001,0.314
away,STL,2013,0.264,0.32799999999999996,0.4,0.728,0.313
home,STL,2014,0.259,0.33399999999999996,0.391,0.725,0.298
away,STL,2014,0.247,0.306,0.349,0.655,0.301
home,STL,2015,0.262,0.331,0.39799999999999996,0.73,0.312
away,STL,2015,0.244,0.311,0.391,0.7020000000000001,0.294
home,STL,2016,0.253,0.321,0.43,0.752,0.28600000000000003
away,STL,2016,0.257,0.32899999999999996,0.45399999999999996,0.782,0.302
home,STL,2017,0.259,0.33899999999999997,0.424,0.762,0.309
away,STL,2017,0.254,0.32899999999999996,0.428,0.757,0.299
home,STL,2018,0.245,0.314,0.382,0.696,0.289
away,STL,2018,0.253,0.32799999999999996,0.435,0.763,0.299
home,STL,2019,0.25,0.33,0.405,0.735,0.297
away,STL,2019,0.24100000000000002,0.315,0.424,0.7390000000000001,0.287
home,MIN,2013,0.248,0.315,0.381,0.696,0.303
away,MIN,2013,0.23600000000000002,0.31,0.379,0.6890000000000001,0.292
home,MIN,2014,0.26,0.33299999999999996,0.402,0.736,0.311
away,MIN,2014,0.248,0.314,0.376,0.69,0.308
home,MIN,2015,0.263,0.322,0.424,0.746,0.304
away,MIN,2015,0.231,0.289,0.375,0.664,0.28
home,MIN,2016,0.251,0.313,0.424,0.736,0.292
away,MIN,2016,0.251,0.32,0.419,0.7390000000000001,0.307
home,MIN,2017,0.268,0.34600000000000003,0.457,0.8029999999999999,0.311
away,MIN,2017,0.252,0.322,0.41100000000000003,0.733,0.301
home,MIN,2018,0.261,0.332,0.429,0.76,0.311
away,MIN,2018,0.239,0.305,0.38299999999999995,0.687,0.28600000000000003
home,MIN,2019,0.264,0.336,0.479,0.816,0.295
away,MIN,2019,0.276,0.33899999999999997,0.508,0.847,0.305
home,HOU,2013,0.23199999999999998,0.294,0.374,0.6679999999999999,0.292
away,HOU,2013,0.247,0.304,0.377,0.68,0.315
home,HOU,2014,0.245,0.315,0.39799999999999996,0.7120000000000001,0.303
away,HOU,2014,0.239,0.304,0.368,0.672,0.292
home,HOU,2015,0.253,0.321,0.462,0.7829999999999999,0.292
away,HOU,2015,0.247,0.31,0.413,0.723,0.292
home,HOU,2016,0.23800000000000002,0.311,0.40700000000000003,0.7170000000000001,0.29100000000000004
away,HOU,2016,0.255,0.326,0.426,0.752,0.304
home,HOU,2017,0.27899999999999997,0.34,0.47200000000000003,0.812,0.302
away,HOU,2017,0.284,0.35100000000000003,0.483,0.8340000000000001,0.315
home,HOU,2018,0.248,0.32799999999999996,0.40299999999999997,0.73,0.282
away,HOU,2018,0.262,0.331,0.446,0.777,0.29600000000000004
